short_name,long_name,overall,potential,age,height_cm,weight_kg,club_name,league_name,club_position,nationality,preferred_foot,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,pace,shooting,passing,dribbling,defending,physic
L. Messi,Lionel Andrés Messi Cuccittini,93,93,34,170,72,Paris Saint-Germain,French Ligue 1,RW,Argentina,Left,4,4,Medium/Low,Unique,Yes,144300000,85,92,91,95,34,65
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,91,91,36,187,83,Manchester United,English Premier League,ST,Portugal,Right,4,5,High/Low,Unique,Yes,83300000,87,94,80,87,34,75
Neymar Jr,Neymar da Silva Santos Júnior,91,91,29,175,68,Paris Saint-Germain,French Ligue 1,LW,Brazil,Right,5,5,High/Medium,Unique,Yes,238700000,91,83,86,94,37,63
K. De Bruyne,Kevin De Bruyne,91,91,30,181,70,Manchester City,English Premier League,RCM,Belgium,Right,5,4,High/High,Unique,Yes,232200000,76,86,93,88,64,78
K. Mbappé,Kylian Mbappé Lottin,91,95,22,182,73,Paris Saint-Germain,French Ligue 1,ST,France,Right,4,5,High/Low,Unique,Yes,373500000,97,88,80,92,36,77
M. Neuer,Manuel Peter Neuer,90,90,35,193,93,FC Bayern München,German 1. Bundesliga,GK,Germany,Right,4,1,Medium/Medium,Unique,Yes,22300000,,,,,,
M. ter Stegen,Marc-André ter Stegen,90,92,29,187,85,FC Barcelona,Spain Primera Division,GK,Germany,Right,4,1,Medium/Medium,Unique,Yes,210400000,,,,,,
H. Kane,Harry Kane,90,90,27,188,89,Tottenham Hotspur,English Premier League,ST,England,Right,5,3,High/High,Unique,Yes,246100000,70,91,83,82,47,83
N. Kanté,N'Golo Kanté,90,90,30,168,70,Chelsea,English Premier League,RCM,France,Right,3,2,Medium/High,Unique,Yes,185000000,78,66,75,81,87,83
K. Benzema,Karim Benzema,89,89,33,185,81,Real Madrid CF,Spain Primera Division,CF,France,Right,4,4,Medium/Medium,Normal (170-185),Yes,135300000,76,86,81,87,39,77
T. Courtois,Thibaut Courtois,89,91,29,199,96,Real Madrid CF,Spain Primera Division,GK,Belgium,Left,3,1,Medium/Medium,Unique,Yes,181700000,,,,,,
Casemiro,Carlos Henrique Venancio Casimiro,89,89,29,185,84,Real Madrid CF,Spain Primera Division,CDM,Brazil,Right,3,2,High/High,Unique,Yes,180400000,65,73,76,72,86,90
