short_name,long_name,overall,potential,age,height_cm,weight_kg,club_name,league_name,club_position,nationality,preferred_foot,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,pace,shooting,passing,dribbling,defending,physic
L. Messi,Lionel Andrés Messi Cuccittini,93,93,34,170,72,Paris Saint-Germain,French Ligue 1,RW,Argentina,Left,4,4,Medium/Low,Unique,Yes,144300000,85,92,91,95,34,65
R. Lewandowski,Robert Lewandowski,92,92,32,185,81,FC Bayern München,German 1. Bundesliga,ST,Poland,Right,4,4,High/Medium,Unique,Yes,197200000,78,92,79,85,44,82
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,91,91,36,187,83,Manchester United,English Premier League,ST,Portugal,Right,4,5,High/Low,Unique,Yes,83300000,87,94,80,87,34,75
Neymar Jr,Neymar da Silva Santos Júnior,91,91,29,175,68,Paris Saint-Germain,French Ligue 1,LW,Brazil,Right,5,5,High/Medium,Unique,Yes,238700000,91,83,86,94,37,63
K. De Bruyne,Kevin De Bruyne,91,91,30,181,70,Manchester City,English Premier League,RCM,Belgium,Right,5,4,High/High,Unique,Yes,232200000,76,86,93,88,64,78
J. Oblak,Jan Oblak,91,93,28,188,87,Atlético de Madrid,Spain Primera Division,GK,Slovenia,Right,3,1,Medium/Medium,Unique,Yes,238000000,,,,,,
K. Mbappé,Kylian Mbappé Lottin,91,95,22,182,73,Paris Saint-Germain,French Ligue 1,ST,France,Right,4,5,High/Low,Unique,Yes,373500000,97,88,80,92,36,77
M. Neuer,Manuel Peter Neuer,90,90,35,193,93,FC Bayern München,German 1. Bundesliga,GK,Germany,Right,4,1,Medium/Medium,Unique,Yes,22300000,,,,,,
M. ter Stegen,Marc-André ter Stegen,90,92,29,187,85,FC Barcelona,Spain Primera Division,GK,Germany,Right,4,1,Medium/Medium,Unique,Yes,210400000,,,,,,
H. Kane,Harry Kane,90,90,27,188,89,Tottenham Hotspur,English Premier League,ST,England,Right,5,3,High/High,Unique,Yes,246100000,70,91,83,82,47,83
N. Kanté,N'Golo Kanté,90,90,30,168,70,Chelsea,English Premier League,RCM,France,Right,3,2,Medium/High,Unique,Yes,185000000,78,66,75,81,87,83
K. Benzema,Karim Benzema,89,89,33,185,81,Real Madrid CF,Spain Primera Division,CF,France,Right,4,4,Medium/Medium,Normal (170-185),Yes,135300000,76,86,81,87,39,77
T. Courtois,Thibaut Courtois,89,91,29,199,96,Real Madrid CF,Spain Primera Division,GK,Belgium,Left,3,1,Medium/Medium,Unique,Yes,181700000,,,,,,
H. Son,손흥민 孙兴慜,89,89,28,183,78,Tottenham Hotspur,English Premier League,LW,Korea Republic,Right,5,4,High/High,Unique,Yes,197600000,88,87,82,86,43,69
Casemiro,Carlos Henrique Venancio Casimiro,89,89,29,185,84,Real Madrid CF,Spain Primera Division,CDM,Brazil,Right,3,2,High/High,Unique,Yes,180400000,65,73,76,72,86,90
V. van Dijk,Virgil van Dijk,89,89,29,193,92,Liverpool,English Premier League,LCB,Netherlands,Right,3,2,Medium/Medium,Unique,Yes,159100000,78,60,71,71,91,84
S. Mané,Sadio Mané,89,89,29,175,69,Liverpool,English Premier League,LW,Senegal,Right,4,4,High/Medium,Unique,Yes,186900000,91,83,80,90,44,77
M. Salah,Mohamed Salah Ghaly,89,89,29,175,71,Liverpool,English Premier League,RW,Egypt,Left,3,4,High/Medium,Unique,Yes,186900000,90,87,81,90,45,75
Ederson,Ederson Santana de Moraes,89,91,27,188,86,Manchester City,English Premier League,GK,Brazil,Left,3,1,Medium/Medium,Unique,Yes,181000000,,,,,,
J. Kimmich,Joshua Walter Kimmich,89,90,26,177,75,FC Bayern München,German 1. Bundesliga,RDM,Germany,Right,4,3,High/Medium,Lean (170-185),Yes,186300000,70,73,86,84,83,79
Alisson,Alisson Ramsés Becker,89,90,28,191,91,Liverpool,English Premier League,GK,Brazil,Right,3,1,Medium/Medium,Unique,Yes,157900000,,,,,,
G. Donnarumma,Gianluigi Donnarumma,89,93,22,196,90,Paris Saint-Germain,French Ligue 1,GK,Italy,Right,3,1,Medium/Medium,Unique,Yes,230000000,,,,,,
Sergio Ramos,Sergio Ramos García,88,88,35,184,82,Paris Saint-Germain,French Ligue 1,LCB,Spain,Right,3,3,High/Medium,Unique,Yes,44400000,70,70,76,73,88,84
L. Suárez,Luis Alberto Suárez Díaz,88,88,34,182,83,Atlético de Madrid,Spain Primera Division,RS,Uruguay,Right,4,3,High/Medium,Unique,Yes,91200000,72,90,82,83,47,83
T. Kroos,Toni Kroos,88,88,31,183,76,Real Madrid CF,Spain Primera Division,LCM,Germany,Right,5,3,Medium/Medium,Normal (170-185),Yes,153800000,53,81,91,81,71,68
R. Lukaku,Romelu Lukaku Menama,88,88,28,191,94,Chelsea,English Premier League,ST,Belgium,Left,4,3,Medium/Medium,Unique,Yes,173000000,84,87,74,78,39,83
K. Navas,Keylor Navas Gamboa,88,88,34,185,80,Paris Saint-Germain,French Ligue 1,SUB,Costa Rica,Right,3,1,Medium/Medium,Normal (185+),Yes,28700000,,,,,,
R. Sterling,Raheem Sterling,88,89,26,170,69,Manchester City,English Premier League,SUB,England,Right,3,4,High/Medium,Unique,Yes,206900000,91,82,79,88,45,66
Bruno Fernandes,Bruno Miguel Borges Fernandes,88,89,26,179,69,Manchester United,English Premier League,CAM,Portugal,Right,3,4,High/High,Unique,Yes,206900000,75,86,89,84,70,77
E. Haaland,Erling Braut Haaland,88,93,20,194,94,Borussia Dortmund,German 1. Bundesliga,RS,Norway,Left,3,3,High/High,Unique,Yes,244100000,89,91,65,80,45,88
S. Agüero,Sergio Leonel Agüero del Castillo,87,87,33,173,70,FC Barcelona,Spain Primera Division,ST,Argentina,Right,4,4,High/Medium,Unique,Yes,104600000,71,89,75,87,33,69
H. Lloris,Hugo Lloris,87,87,34,188,82,Tottenham Hotspur,English Premier League,GK,France,Left,1,1,Medium/Medium,Unique,Yes,25700000,,,,,,
